tipo_de_propiedad,lugar,lat-lon,precio,moneda,precio_aprox_local,precio_aprox_usd,superficie_total_en_m2,superficie_cubierta_en_m2,precio_por_m2_usd,precio_por_m2,lat,lon
Apartamento,Miguel Hidalgo,"23.634501,-102.552788",5500000,MXN,5450245.5,289775.66,54,54,5366.215925925925,101851.8519,23.634501,-102.552788
Casa,Iztapalapa,"19.31033,-99.068557",1512000,MXN,1498321.97,79661.96,80,80,995.7745000000001,18900,19.31033,-99.068557
Apartamento,Tlalpan,"19.279771,-99.234597",926667,MXN,918284,48822.82,100,100,488.2282,9266.67,19.279771,-99.234597
Apartamento,Miguel Hidalgo,"23.634501,-102.552788",6410000,MXN,6352013.39,337720.36,135,135,2501.6322962962963,47481.48148,23.634501,-102.552788
Apartamento,Miguel Hidalgo,"19.432657,-99.177444",4416000,MXN,4376051.62,232663.51,87,87,2674.2932183908047,50758.62069,19.432657,-99.177444
Apartamento,Benito Juárez,"19.367025,-99.170349",3150000,MXN,3122244.47,166001.78,100,100,1660.0178,31500,19.367025,-99.170349
Casa,Álvaro Obregón,"19.340909,-99.22511",2086666,MXN,2067789.37,109939.09,205,205,536.2882439,10178.85854,19.340909,-99.22511
Casa,Gustavo A Madero,"19.509359,-99.093272",1600000,MXN,1585525.89,84298.37,144,144,585.4053472222222,11111.11111,19.509359,-99.093272
Casa,Miguel Hidalgo,"19.432901,-99.213075",4398100,MXN,4359347.04,231775.37,304,304,762.4189802631579,14467.43421,19.432901,-99.213075
Apartamento,Benito Juárez,"23.634501,-102.552788",1784569,MXN,1768425.2,94022.66,57,57,1649.520350877193,31308.22807,23.634501,-102.552788
Apartamento,Benito Juárez,"19.3794059,-99.1591446",3272300,MXN,3243466.76,172446.86,83,83,2077.6730120481925,39425.3012,19.3794059,-99.1591446
Apartamento,Benito Juárez,"19.36269,-99.150565",1260000,MXN,1248601.52,66384.96,103,103,644.5141747572816,12233.00971,19.36269,-99.150565
Casa,Cuauhtémoc,"19.452952,-99.158166",4888800,MXN,4845723.38,257634.76,530,530,486.1033208,9224.150943,19.452952,-99.158166
Casa,Álvaro Obregón,"19.342911,-99.224472",706447,MXN,700222.21,37229.03,90,90,413.65588888888885,7849.411111,19.342911,-99.224472
Casa,Gustavo A Madero,"19.491083,-99.07564",2230000,MXN,2209826.65,117490.85,120,120,979.0904166666667,18583.33333,19.491083,-99.07564
Apartamento,Miguel Hidalgo,"19.407269,-99.190754",1016611,USD,19120927.99,1016611,149,149,6822.892617,6822.892617,19.407269,-99.190754
Apartamento,Iztacalco,"19.4024128,-99.0953907",1345000,MXN,1333148.73,70880.12,56,56,1265.716429,24017.85714,19.4024128,-99.0953907
Apartamento,Benito Juárez,"19.35782,-99.149406",1295000,MXN,1283284.95,68228.99,80,80,852.862375,16187.5,19.35782,-99.149406
Apartamento,Azcapotzalco,"19.504985,-99.208557",460000,MXN,455838.66,24235.78,60,60,403.92966666666666,7666.666667,19.504985,-99.208557
Apartamento,Benito Juárez,"19.376792,-99.153132",4900000,MXN,4855673.26,258163.77,120,120,2151.3647499999997,40833.33333,19.376792,-99.153132
Casa,Venustiano Carranza,"19.433895,-99.091159",1700000,MXN,1684621.29,89567.02,220,220,407.1228181818182,7727.272727,19.433895,-99.091159
Apartamento,Coyoacán,"19.354219,-99.126244",1786800,MXN,1770635.95,94140.2,50,50,1882.8039999999999,35736,19.354219,-99.126244
Apartamento,Cuauhtémoc,"19.439716,-99.152892",662025,MXN,656035.96,34879.76,16,16,2179.985,41376.5625,19.439716,-99.152892
Casa,Gustavo A Madero,"19.543273,-99.148777",706500,MXN,700108.79,37223,90,90,413.5888888888889,7850,19.543273,-99.148777
Casa,Tlalpan,"19.2690778853,-99.2035388947",2500000,MXN,2477971.72,131747.44,331,150,398.0285196,16666.66667,19.26907789,-99.20353889
Apartamento,Miguel Hidalgo,"19.420166,-99.220367",1750000,USD,32914875,1750000,734,734,2384.1961852861036,2384.196185,19.420166,-99.220367
Apartamento,Benito Juárez,"19.367728,-99.156645",2699000,MXN,2674583.93,142200.81,90,90,1580.009,29988.88889,19.367728,-99.156645
Apartamento,Benito Juárez,"19.400785,-99.147419",1450000,MXN,1436882.88,76395.4,90,90,848.8377777777777,16111.11111,19.400785,-99.147419
Apartamento,Miguel Hidalgo,"19.430456,-99.1889121",1125000,USD,21159562.5,1125000,260,260,4326.923077,4326.923077,19.430456,-99.1889121
Apartamento,Tlalpan,"19.2745241,-99.1515694",2809200,MXN,2810709.32,149438.25,87,87,1717.681034,32307.003678160916,19.2745241,-99.1515694
Apartamento,Álvaro Obregón,"19.376482,-99.2587951",4220000,MXN,4182816.29,222389.68,80,80,2779.871,52285.20363,19.376482,-99.2587951
Apartamento,Miguel Hidalgo,"19.407269,-99.190754",947592,USD,17822784.13,947592,175,175,5414.811429,101844.48074285714,19.407269,-99.190754
Apartamento,Iztacalco,"19.395901,-99.097612",2490960,MXN,2468426.03,131239.92,254,254,516.6925984251969,9806.929134,19.395901,-99.097612
Apartamento,Benito Juárez,"19.375658,-99.186109",4900000,MXN,4855673.26,258163.77,190,190,1358.7566842105264,25789.47368,19.375658,-99.186109
Casa,Coyoacán,"19.307427366,-99.1170322895",5800000,MXN,5748894.57,305654.07,200,263,1528.27035,22053.23194,19.30742737,-99.11703229
Apartamento,Benito Juárez,"19.39177,-99.159996",1771066,MXN,1755044.45,93311.24,114,114,818.5196491228071,15535.66667,19.39177,-99.159996
Apartamento,Álvaro Obregón,"19.366632,-99.1979",761173,MXN,754287.05,40103.52,65,65,616.9772307692307,11710.35385,19.366632,-99.1979
Apartamento,Iztacalco,"19.400731,-99.125466",1292000,MXN,1280312.08,68070.93,80,80,850.8866249999999,16150,19.400731,-99.125466
Apartamento,Cuajimalpa,"19.357350,-99.299792",3735000,MXN,3701212.05,196784.01,83,83,2370.891686746988,45000,19.35735,-99.299792
Casa,Gustavo A Madero,"19.519724,-99.14607",14800000,MXN,14666115.2,779759.96,804,804,969.8506965174129,18407.9602,19.519724,-99.14607
Casa,Gustavo A Madero,"19.469479,-99.104805",2210000,MXN,2190007.57,116437.12,445,445,261.65644943820223,4966.292135,19.469479,-99.104805
Apartamento,Iztapalapa,"19.337163,-99.080899",748000,MXN,741233.2,39409.48,61,61,646.0570491803279,12262.29508,19.337163,-99.080899
Casa,Xochimilco,"19.279143,-99.130161",3750000,MXN,3716076.4,197574.31,124,124,1593.3412096774193,30241.93548,19.279143,-99.130161
Casa,Álvaro Obregón,"19.361606,-99.201739",949000,MXN,940415.03,49999.47,60,60,833.3245000000001,15816.66667,19.361606,-99.201739
Apartamento,Cuajimalpa,"19.390415,-99.254997",10500000,MXN,10407481.65,553339.27,320,320,1729.185219,32812.5,19.390415,-99.254997
Apartamento,Cuauhtémoc,"19.4517419505,-99.1570790112",740000,MXN,733305.6,38987.99,35,35,1113.942571,20951.588571428572,19.45174195,-99.15707901
Casa,Iztapalapa,"19.374413,-99.105499",3350000,MXN,3319694.98,176499.72,200,200,882.4986,16750,19.374413,-99.105499
Apartamento,Miguel Hidalgo,"19.430456,-99.1889121",20000000,MXN,19823774.55,1053979.56,190,190,5547.260842,105263.1579,19.430456,-99.1889121
Apartamento,Cuauhtémoc,"19.435666,-99.14973",850000,MXN,842510.39,44794.13,55,55,814.4387272727272,15454.54545,19.435666,-99.14973
Casa,Venustiano Carranza,"19.412011,-99.106233",3850000,MXN,3815171.81,202842.96,200,200,1014.2148,19250,19.412011,-99.106233
Apartamento,Cuauhtémoc,"19.41498,-99.177444",3930000,MXN,3894448.13,207057.88,180,180,1150.3215555555555,21833.33333,19.41498,-99.177444
